covariate,covariate_label,n,mean_v,med_v,p25_v,p75_v
gender,Gender,1459,.1200989765438729,.0688709048734351,.0185477793374228,.1817519800775023
crtN,CRT,1459,.1199873064001344,.0652145721012743,.0196913071809358,.1935469984495772
patienceN,Patience,1459,.119742246775281,.0839365924991036,.011954859231308,.1734811849982689
finN,Financial literacy,1459,.1129997172164316,.0723955758475607,.0115576798277222,.1721340569366838
inequalityN,Inequality attitudes,1459,.106481356231425,.0591548249220779,.0055783641246305,.1703187454700022
bullying_union,Bullying,1459,.1050141247553115,.055988267724921,.0183979527213759,.1240610843788636
scoreN,Score,1459,.0826325761207335,.0651335679005781,.0216841007978883,.1058783244857678
migrant,Migrant,1459,.0781793652835373,.0348152112940365,.0068669833811984,.1071484864422426
riskyN,Risk tolerance,1459,.0776172940493904,.0447460487665515,.0133940723450572,.1126917036322241
moodgeneral,Mood,1459,.0772470366238829,.045019144769683,.0041011050102473,.110646621081593
